acc_fold_0,acc_fold_1,acc_fold_2,acc_fold_3,acc_fold_4,acc_fold_5,acc_fold_6,acc_fold_7,acc_fold_8,acc_fold_9,time_fold_0,time_fold_1,time_fold_2,time_fold_3,time_fold_4,time_fold_5,time_fold_6,time_fold_7,time_fold_8,time_fold_9,mean_exec_time,sd_exec_time,mean_accuracie,sd_accuracie,mean_kappa,sd_kappa,mean_balanced_accuracie,sd_balanced_accuracie,mean_macro_precision,sd_macro_precision,mean_macro_recall,sd_macro_recall,n_neighbors,weights,metric,voting
0.9253,0.9153,0.9231,0.939,0.9233,0.8942,0.9074,0.918,0.9257,0.9441,2.039,0.7198,0.7323,0.6732,0.7071,0.7861,0.6924,0.7945,0.7218,0.7866,0.8653,0.3932,0.9215,0.0136,0.3813,0.0821,0.6774,0.0675,0.599,0.071,0.6774,0.0675,1,uniform,minkowski_p_1,majority
0.912,0.8968,0.8992,0.9098,0.9074,0.8942,0.8995,0.9101,0.9231,0.9388,0.6704,0.7461,0.7643,0.697,0.858,0.7172,0.7115,0.7433,0.8402,0.8206,0.7569,0.0602,0.9091,0.0129,0.3225,0.0936,0.6263,0.0608,0.567,0.0826,0.6263,0.0608,1,uniform,minkowski_p_3,majority
0.912,0.9021,0.8992,0.9151,0.9048,0.8942,0.8995,0.9101,0.9257,0.9415,0.835,0.7563,0.7906,0.7151,0.7469,0.7871,0.8358,0.737,0.8296,0.7361,0.777,0.0428,0.9104,0.0135,0.3427,0.0957,0.6222,0.0818,0.5705,0.1033,0.6222,0.0818,1,uniform,minkowski_p_4,majority
0.944,0.9392,0.9416,0.9284,0.9365,0.9259,0.9312,0.9259,0.9363,0.9468,1.8923,0.8333,0.8424,0.704,0.8908,0.914,0.8616,0.828,0.7252,0.8416,0.9333,0.3257,0.9356,0.0071,0.3602,0.0835,0.7698,0.0789,0.5439,0.0667,0.7698,0.0789,3,uniform,minkowski_p_1,majority
0.944,0.9339,0.9416,0.9284,0.9312,0.9339,0.9286,0.9286,0.9363,0.9468,0.8415,0.7076,0.6788,0.8259,0.876,0.7518,0.7409,0.6842,0.7573,0.7536,0.7618,0.0632,0.9353,0.0064,0.3667,0.0759,0.7673,0.0592,0.5456,0.0651,0.7673,0.0592,3,uniform,minkowski_p_3,majority
0.9413,0.9312,0.9416,0.9257,0.9312,0.9339,0.9259,0.9312,0.9363,0.9468,0.8044,0.7814,0.8328,0.7456,0.8196,0.8139,0.7382,0.7734,0.7382,0.7978,0.7845,0.0331,0.9345,0.0066,0.3593,0.0733,0.751,0.0746,0.5401,0.0651,0.751,0.0746,3,uniform,minkowski_p_4,majority
0.944,0.9339,0.9443,0.9257,0.9392,0.9259,0.9286,0.9312,0.9416,0.9468,2.0582,0.7338,0.7475,0.7559,0.8215,0.7668,0.7663,0.7879,0.8166,0.8423,0.9097,0.3843,0.9361,0.0076,0.3199,0.0902,0.8018,0.141,0.5186,0.068,0.8018,0.141,5,uniform,minkowski_p_1,majority
0.9387,0.9286,0.9443,0.9284,0.9365,0.9286,0.9233,0.9365,0.9337,0.9468,0.7033,0.6918,0.7765,0.693,0.8477,0.74,0.673,0.7401,0.8599,0.7387,0.7464,0.061,0.9345,0.0071,0.3161,0.0773,0.77,0.0676,0.502,0.0601,0.77,0.0676,5,uniform,minkowski_p_3,majority
0.9387,0.9286,0.9443,0.9284,0.9365,0.9286,0.9233,0.9365,0.9337,0.9441,0.9674,0.8394,0.7752,0.7161,0.8567,0.8963,0.7365,0.7871,0.7234,0.844,0.8142,0.0773,0.9343,0.0067,0.3107,0.0679,0.7564,0.0786,0.5002,0.056,0.7564,0.0786,5,uniform,minkowski_p_4,majority
0.936,0.9365,0.9363,0.9257,0.9365,0.9312,0.9286,0.9312,0.939,0.9468,2.007,0.6307,0.7337,0.7306,0.7387,0.7773,0.8338,0.9774,0.9441,0.8524,0.9226,0.3748,0.9348,0.0056,0.2814,0.0774,0.8549,0.1338,0.5444,0.1155,0.8549,0.1338,7,uniform,minkowski_p_1,majority
