acc_fold_0,acc_fold_1,acc_fold_2,acc_fold_3,acc_fold_4,acc_fold_5,acc_fold_6,acc_fold_7,acc_fold_8,acc_fold_9,time_fold_0,time_fold_1,time_fold_2,time_fold_3,time_fold_4,time_fold_5,time_fold_6,time_fold_7,time_fold_8,time_fold_9,mean_exec_time,sd_exec_time,mean_accuracie,sd_accuracie,mean_kappa,sd_kappa,mean_balanced_accuracie,sd_balanced_accuracie,mean_macro_precision,sd_macro_precision,mean_macro_recall,sd_macro_recall,n_neighbors,weights,metric,voting
0.9909,0.9927,0.9973,0.9927,0.9954,0.9936,0.9964,0.9918,0.9945,0.9955,1.8046,1.5384,2.8539,2.6621,2.9853,2.7762,2.4842,2.7544,2.1787,1.74,2.3778,0.4968,0.9941,0.002,0.9934,0.0022,0.9942,0.0019,0.9941,0.0019,0.9942,0.0019,1,uniform,cosine,majority
0.9936,0.9909,0.9927,0.99,0.9936,0.9927,0.9946,0.9927,0.9936,0.99,1.5702,1.2992,1.4706,1.3497,1.5122,1.514,1.4034,1.2905,1.3996,1.4249,1.4234,0.0891,0.9924,0.0015,0.9916,0.0017,0.9926,0.0015,0.9925,0.0015,0.9926,0.0015,6,uniform,cosine,majority
0.9927,0.9909,0.99,0.9882,0.9918,0.9909,0.9946,0.9882,0.9927,0.9891,1.4538,1.3017,1.4196,1.2267,1.3669,1.2927,1.4057,1.2755,1.3462,1.5149,1.3604,0.0846,0.9909,0.002,0.9899,0.0022,0.991,0.002,0.991,0.002,0.991,0.002,11,uniform,cosine,majority
0.9936,0.9891,0.9854,0.9855,0.9882,0.9909,0.9936,0.9855,0.99,0.9864,1.5935,1.4555,1.6686,1.4104,2.5953,2.6162,2.5492,2.2655,2.6872,2.6825,2.1524,0.5226,0.9888,0.003,0.9876,0.0034,0.989,0.003,0.9889,0.003,0.989,0.003,16,uniform,cosine,majority
0.9891,0.9882,0.9845,0.9864,0.9882,0.9891,0.9927,0.9818,0.9891,0.9873,2.7528,2.266,2.6942,2.625,2.6311,2.5679,2.6865,2.5167,2.7054,2.6035,2.6049,0.131,0.9876,0.0028,0.9862,0.0031,0.9878,0.0028,0.9878,0.0028,0.9878,0.0028,21,uniform,cosine,majority
0.9882,0.9854,0.9827,0.9864,0.9836,0.9863,0.9918,0.9827,0.9854,0.9846,2.6751,2.6686,2.3631,2.442,1.7407,1.3951,1.6112,1.6997,1.5971,1.5033,1.9696,0.48,0.9857,0.0026,0.9841,0.0029,0.986,0.0026,0.9859,0.0026,0.986,0.0026,26,uniform,cosine,majority
0.9909,0.9927,0.9973,0.9927,0.9954,0.9936,0.9964,0.9918,0.9945,0.9955,1.5383,1.255,1.3715,1.3207,1.3558,1.2967,1.4233,1.3065,1.5043,1.3522,1.3724,0.0865,0.9941,0.002,0.9934,0.0022,0.9942,0.0019,0.9941,0.0019,0.9942,0.0019,1,uniform,cosine,inverse_distance
0.9927,0.9891,0.9936,0.99,0.9927,0.9918,0.9946,0.9918,0.9927,0.9882,1.542,1.2034,1.3739,1.3053,1.3194,1.2741,1.384,1.2188,1.5211,1.4212,1.3563,0.1095,0.9917,0.0019,0.9908,0.0021,0.9919,0.0019,0.9918,0.0019,0.9919,0.0019,6,uniform,cosine,inverse_distance
0.9927,0.9891,0.99,0.9873,0.9872,0.9918,0.9918,0.9882,0.99,0.9855,1.4257,1.2002,1.579,1.3876,1.4386,1.2571,1.3822,1.3371,1.5324,1.3682,1.3908,0.108,0.9894,0.0022,0.9882,0.0025,0.9896,0.0022,0.9895,0.0022,0.9896,0.0022,11,uniform,cosine,inverse_distance
0.99,0.9882,0.9854,0.9845,0.9845,0.9863,0.9918,0.9845,0.9872,0.9846,1.602,1.2617,1.4882,1.4321,1.3759,1.2349,1.4617,1.2835,1.5937,1.4506,1.4184,0.1227,0.9867,0.0024,0.9852,0.0027,0.9869,0.0024,0.9869,0.0024,0.9869,0.0024,16,uniform,cosine,inverse_distance
